"","COU","YEAR","FOODTFAT.PROPERQT","FOODCALT.CALPERQT","FOODPROT.PROPERQT","FOODSUCR.KGPPERNB","FOODFRUI.KGPPERNB","FOODVEGE.FRVGFMTF","FOODVEGE.FRVGHOTH","FOODVEGE.FRVGTOTX","FOODFRUT.FRVGFMTF","FOODFRUT.FRVGHOTH","FOODFRUT.FRVGTOTX","ACOLALCT.LIPPERNB","TOBATBCT.GRPPERQT","TOBATBCT.NBPFUMNB","TOBATBCT.PDLSFMTF","TOBATBCT.PDLSHOTH","TOBATBCT.PDLSTOTX","TOBATBCT.YNGPPTPC","TOBATBCT.YNGPPHPH","TOBATBCT.YNGPPFPF","BODYOVSR.PERWOMTF","BODYOVSR.PERMANTH","BODYOVSR.TOTPOPTX","BODYOBSR.PERWOMTF","BODYOBSR.PERMANTH","BODYOBSR.TOTPOPTX","BODYVBSR.PERWOMTF","BODYVBSR.PERMANTH","BODYVBSR.TOTPOPTX","BODYOVMS.PERWOMTF","BODYOVMS.PERMANTH","BODYOVMS.TOTPOPTX","BODYOBMS.PERWOMTF","BODYOBMS.PERMANTH","BODYOBMS.TOTPOPTX","BODYVBMS.PERWOMTF","BODYVBMS.PERMANTH","BODYVBMS.TOTPOPTX","FOODVEGG.KGPPERNB","VAPEVAPY.VAPREGPF","VAPEVAPY.VAPREGPC","VAPEVAPY.VAPREGPH","VAPEVAPA.VAPREGPF","VAPEVAPA.VAPREGPC","VAPEVAPA.VAPREGPH","PHARMAEXP.PC_HEALTHXP","PHARMAEXP.PC_GDP","PHARMAEXP.USD_CAP","HRWKD.HR_WKD","MNTDISORDSHR.PC_POBL"
"14","AUS",2018,157.9,3391,105.9,57.7,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,NA,NA,NA,NA,NA,NA,13.839,1.267,663.383,1733,NA
"15","AUT",2005,152.3,3640,102.7,49.6,143.7,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.1,NA,NA,NA,NA,NA,NA,13.239,1.274,460.159,1632,14.49833169
"16","AUT",2006,162.3,3719,101.5,48.8,144.1,NA,NA,NA,NA,NA,NA,12.9,NA,16.7,19.4,27.3,23.2,29.4,31.2,27.7,28.6,42.5,35.3,12.7,12,12.4,41.3,54.5,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.8,NA,NA,NA,NA,NA,NA,13.271,1.265,482.018,1617,14.49278321
"17","AUT",2007,162.8,3737,103.7,46.9,149.7,NA,NA,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9,NA,NA,NA,NA,NA,NA,13.486,1.286,511.609,1606,14.48164186
"18","AUT",2008,161.9,3717,101.8,48.8,156.7,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.8,NA,NA,NA,NA,NA,NA,13.432,1.306,538.526,1599,14.47924113
"19","AUT",2009,167.8,3723,102.4,46.8,130.5,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.2,NA,NA,NA,NA,NA,NA,12.369,1.265,506.838,1558,14.45264733
"20","AUT",2010,170.3,3724,101.8,48.3,130.7,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.7,NA,NA,NA,NA,NA,NA,12.22,1.249,520.701,1552,14.45296461
"21","AUT",2011,166.2,3735,103.3,47.7,155.8,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3,NA,NA,NA,NA,NA,NA,12.291,1.232,534.067,1557,14.44989884
"22","AUT",2012,167.7,3739,103.4,47.3,156.4,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.8,NA,NA,NA,NA,NA,NA,12.063,1.23,553.478,1535,14.45423776
"23","AUT",2013,170.4,3768,106.2,45.3,154.1,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.7,NA,NA,NA,NA,NA,NA,11.886,1.223,566.622,1520,14.45567139
"24","AUT",2014,162.2,3672,106.5,44.9,89.6,55,39.5,47.5,66.3,45.4,56.2,12.8,NA,15.6,22.1,26.5,24.3,26.8,29.6,23.8,25.9,39.4,32.4,13.1,15.6,14.3,39,55,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.9,NA,NA,NA,NA,NA,NA,12.144,1.259,589.98,1510,14.4594251
"25","AUT",2015,163.7,3664,107.1,46.9,89.6,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3,NA,NA,NA,NA,NA,NA,12.292,1.274,607.648,1495,14.46326367
"26","AUT",2016,162.3,3659,109.6,48.5,79,NA,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,NA,NA,NA,NA,NA,NA,11.965,1.239,621.653,1507,14.46000954
"27","AUT",2017,165.5,3687,107.4,47.5,80.1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,27.3,43,35,13.7,16.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.9,NA,NA,NA,NA,NA,NA,12.085,1.255,642.377,1498,NA
"28","AUT",2018,166.5,3695,109.1,46.3,100.8,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7,NA,NA,NA,NA,NA,NA,11.927,1.231,661.303,1502,NA
"29","BEL",2005,163.3,3716,99.3,53.2,69.9,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.6,NA,NA,NA,NA,NA,NA,16.889,1.564,526.386,1578,15.35459411
"30","BEL",2006,163.6,3716,100.1,51,87.2,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.6,NA,NA,NA,NA,NA,NA,16.37,1.5,524.481,1592,15.38919702
"31","BEL",2007,165.2,3713,101.2,50.4,84.1,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.1,NA,NA,NA,NA,NA,NA,16.562,1.518,549.278,1594,15.41155009
"32","BEL",2008,162.4,3702,98.4,52.6,90.4,87,82.4,84.8,68.1,57.6,63.1,10.5,NA,16.1,17.7,23.6,20.5,18.7,20.9,16.5,26.8,40.8,33.5,14.7,13.3,14,41.5,54.1,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.2,NA,NA,NA,NA,NA,NA,14.801,1.425,526.619,1582,15.44958373
"33","BEL",2009,159.4,3697,96.1,54.4,78.1,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.9,NA,NA,NA,NA,NA,NA,14.134,1.464,527.192,1563,15.46827859
"34","BEL",2010,161.3,3707,96.9,57.1,70.7,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.1,NA,NA,NA,NA,NA,NA,13.8,1.412,541.257,1574,15.49302188
"35","BEL",2011,167.7,3720,96.6,50.5,59.8,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.2,NA,NA,NA,NA,NA,NA,13.57,1.41,551.651,1590,15.48898783
"36","BEL",2012,161.6,3715,99,55.7,61.7,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.3,NA,NA,NA,NA,NA,NA,12.762,1.341,541.618,1587,15.49207762
"37","BEL",2013,162.3,3733,99.6,52.4,71.4,81.4,74.8,78.2,59.4,47.9,53.9,10.3,NA,15.9,16.4,21.6,18.9,17.2,15.4,19.1,27.9,41.3,34.4,13.9,13.6,13.7,41.7,54.9,48.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.4,NA,NA,NA,NA,NA,NA,12.553,1.326,556.831,1586,15.48163448
"38","BEL",2014,161.7,3789,98.5,53.3,150.5,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,37.4,32.4,19.2,18.1,18.6,46.4,55.5,51,112.4,NA,NA,NA,NA,NA,NA,12.241,1.297,561.64,1582,15.49554333
"39","BEL",2015,166.6,3804,98.9,61.5,116.3,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.4,NA,NA,NA,NA,NA,NA,12.702,1.325,591.196,1575,15.49413966
"40","BEL",2016,165.2,3774,99.8,58.8,120.7,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.4,NA,NA,NA,NA,NA,NA,12.067,1.3,603.812,1574,15.49780274
"41","BEL",2017,166.9,3768,98.5,59.1,89.3,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.1,NA,NA,NA,NA,NA,NA,11.523,1.243,591.828,1578,NA
"42","BEL",2018,161.2,3769,99.9,62.6,123.8,79.4,72.3,75.9,61.4,47.9,54.8,9.2,NA,14.8,12.1,18.9,15.4,11.1,14.1,7.9,28.4,38.6,33.4,15,16.7,15.9,43.4,55.3,49.3,29.1,39.7,34.2,22.6,19.6,21.2,51.7,59.3,55.4,109.7,2,5.5,8.7,2.7,4.1,5.6,11.333,1.22,607.341,1580,NA
"43","CAN",2005,144.3,3475,102.1,53.8,129.3,80.6,67,74,74,59.5,66.9,8,1020,15.6,15.6,19.2,17.3,15.3,16.4,14.2,26.2,39.7,33,14.2,16.3,15.2,40.3,55.9,48.2,28.4,39.8,34.1,22.1,25.2,23.7,50.5,65.1,57.7,119.2,NA,NA,NA,NA,NA,NA,18.058,1.632,594.446,1745,14.5486735
"44","CAN",2006,143.2,3470,103.5,52.8,131.9,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.1,NA,NA,NA,NA,NA,NA,17.934,1.675,625.004,1744,14.61905076
"45","CAN",2007,144.9,3483,104.4,53.3,142.7,79.6,66.1,73,74.6,59.4,67.2,8.4,NA,15.3,16.1,20.4,18.2,16.5,17.4,15.5,26.3,39.6,32.9,15.2,17.2,16.2,41.4,56.8,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.6,NA,NA,NA,NA,NA,NA,17.726,1.674,657.055,1744,14.70029386
"46","CAN",2008,145.8,3465,104.7,51.3,132.8,79.7,66.7,73.3,74.9,60.3,67.8,8.4,NA,15.1,15.1,20,17.5,15.7,17.5,13.8,26.5,39.1,32.8,15.6,17.7,16.6,42.1,56.8,49.5,30.8,40.9,35.8,23.3,25.2,24.2,54.1,66.1,60,114.1,NA,NA,NA,NA,NA,NA,17.52,1.683,674.427,1741,14.80018797
"47","CAN",2009,145.3,3440,103.1,49.5,134,80.7,69,75,75.8,63,69.5,8.4,NA,14.9,14.2,18.3,16.2,14.4,16.3,12.3,26.5,39,32.8,16.1,18.3,17.2,42.5,57.4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.1,NA,NA,NA,NA,NA,NA,17.542,1.88,692.88,1712,14.91423925
"48","CAN",2010,148.1,3447,104.1,46.1,133.3,80.3,67.1,73.9,76.2,61.7,69.1,8.4,NA,15.1,13.7,19,16.3,13,15.1,10.7,26.4,39.8,33.2,15.8,19.1,17.5,42.3,58.9,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.7,NA,NA,NA,NA,NA,NA,18.197,1.946,756.151,1715,15.06168603
