"","COU","YEAR","FOODTFAT.PROPERQT","FOODCALT.CALPERQT","FOODPROT.PROPERQT","FOODSUCR.KGPPERNB","FOODFRUI.KGPPERNB","FOODVEGE.FRVGFMTF","FOODVEGE.FRVGHOTH","FOODVEGE.FRVGTOTX","FOODFRUT.FRVGFMTF","FOODFRUT.FRVGHOTH","FOODFRUT.FRVGTOTX","ACOLALCT.LIPPERNB","TOBATBCT.GRPPERQT","TOBATBCT.NBPFUMNB","TOBATBCT.PDLSFMTF","TOBATBCT.PDLSHOTH","TOBATBCT.PDLSTOTX","TOBATBCT.YNGPPTPC","TOBATBCT.YNGPPHPH","TOBATBCT.YNGPPFPF","BODYOVSR.PERWOMTF","BODYOVSR.PERMANTH","BODYOVSR.TOTPOPTX","BODYOBSR.PERWOMTF","BODYOBSR.PERMANTH","BODYOBSR.TOTPOPTX","BODYVBSR.PERWOMTF","BODYVBSR.PERMANTH","BODYVBSR.TOTPOPTX","BODYOVMS.PERWOMTF","BODYOVMS.PERMANTH","BODYOVMS.TOTPOPTX","BODYOBMS.PERWOMTF","BODYOBMS.PERMANTH","BODYOBMS.TOTPOPTX","BODYVBMS.PERWOMTF","BODYVBMS.PERMANTH","BODYVBMS.TOTPOPTX","FOODVEGG.KGPPERNB","VAPEVAPY.VAPREGPF","VAPEVAPY.VAPREGPC","VAPEVAPY.VAPREGPH","VAPEVAPA.VAPREGPF","VAPEVAPA.VAPREGPC","VAPEVAPA.VAPREGPH","PHARMAEXP.PC_HEALTHXP","PHARMAEXP.PC_GDP","PHARMAEXP.USD_CAP","HRWKD.HR_WKD","MNTDISORDSHR.PC_POBL"
"521","RUS",2007,94,3309,98.5,51,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,12.4,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,11.39523118
"522","RUS",2008,95.3,3312,99.6,50.8,66.6,NA,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,13.1,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,11.39600211
"523","RUS",2009,95.8,3273,99.6,48.2,62.1,NA,NA,NA,NA,NA,NA,16.1,NA,NA,21.7,60.7,39.4,NA,NA,NA,NA,NA,NA,24.5,13.3,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,11.39655542
"524","RUS",2010,99.8,3302,101,47.2,66.1,NA,NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,13.8,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,11.39367682
"525","RUS",2011,101,3331,101.3,48.9,68.4,NA,NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3,15.8,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,11.4150736
"526","RUS",2012,103.4,3366,103.5,48.9,68.7,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7,15.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,11.42549413
"527","RUS",2013,105.6,3361,102.8,49,71.7,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,16.1,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,11.44126671
"528","RUS",2014,108.6,3365,102.5,76.4,59.7,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,16.8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.4,NA,NA,NA,NA,NA,NA,23.707,1.229,350.593,1985,11.46648971
"529","RUS",2015,105.3,3353,102.1,77.5,55.2,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,16.3,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7,NA,NA,NA,NA,NA,NA,18.59,0.985,266.527,1978,11.4795702
"530","RUS",2016,108.9,3339,101.2,76,53.9,NA,NA,NA,NA,NA,NA,13,NA,NA,14.4,49.5,30.3,NA,NA,NA,NA,NA,NA,26.6,15.9,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9,NA,NA,NA,NA,NA,NA,19.558,1.035,275.042,1974,11.50042012
"531","RUS",2017,109.7,3366,102.7,77,56.3,NA,NA,NA,NA,NA,NA,11.1,NA,NA,13.9,45.9,27.5,NA,NA,NA,NA,NA,NA,26.9,16.2,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.8,NA,NA,NA,NA,NA,NA,19.608,1.051,298.231,1979,NA
"532","RUS",2018,112.3,3345,101.4,76.2,62.6,NA,NA,NA,NA,NA,NA,11.1,NA,NA,13.7,44.7,26.7,NA,NA,NA,NA,NA,NA,26.7,17.2,22.7,NA,NA,NA,NA,NA,NA,24.5,17.8,21.6,NA,NA,NA,102.9,NA,NA,NA,NA,NA,NA,18.172,0.966,311.454,1970,NA
"533","SVN",2005,117.6,3071,98.1,23.8,152,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,NA,NA,NA,NA,NA,NA,21.305,1.704,404.795,1696.6,12.27672809
"534","SVN",2006,118.9,3120,98.2,23,130.7,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6,NA,NA,NA,NA,NA,NA,21.146,1.654,419.752,1667.4,12.25186998
"535","SVN",2007,119.6,3143,98.3,24,126,NA,NA,NA,NA,NA,NA,11,NA,16.2,15.5,22.4,18.9,18.3,21.4,14.9,29.6,47.9,38.7,15.8,17,16.4,45.4,64.9,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9,NA,NA,NA,NA,NA,NA,20.077,1.508,414.566,1654.9,12.21834861
"536","SVN",2008,121.9,3156,101.7,24.1,121.9,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9,NA,NA,NA,NA,NA,NA,19.07,1.498,438.138,1673.5,12.18303455
"537","SVN",2009,121.9,3179,101.9,24.5,132.1,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7,NA,NA,NA,NA,NA,NA,19.75,1.687,448.281,1679,12.16494347
"538","SVN",2010,121.8,3176,100.5,26.1,122.2,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,19.778,1.694,458.972,1680.3,12.12960295
"539","SVN",2011,119.4,3165,98.9,25.7,121.4,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9,NA,NA,NA,NA,NA,NA,19.556,1.669,464.77,1663.4,12.11642217
"540","SVN",2012,118.9,3160,98.3,27,110.6,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.8,NA,NA,NA,NA,NA,NA,20.135,1.755,489.476,1644.3,12.10315978
"541","SVN",2013,119.5,3168,96.2,27.4,117.4,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,NA,NA,NA,NA,NA,20.096,1.756,501.44,1662.2,12.10099228
"542","SVN",2014,113.6,3203,98.9,46.3,111.5,66.4,55.2,60.9,68.6,52.5,60.7,10.9,NA,14.9,16,21.8,18.9,16.3,16.4,16.1,30.2,42.7,36.4,17.4,21,19.2,47.6,63.7,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,NA,NA,NA,NA,NA,NA,18.543,1.576,463.397,1681.8,12.09557069
"543","SVN",2015,111.6,3164,97.4,49.4,111.4,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.4,NA,NA,NA,NA,NA,NA,18.252,1.555,470.779,1687.3,12.07204705
"544","SVN",2016,114.6,3164,98.6,45.6,106.3,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1,NA,NA,NA,NA,NA,NA,18.27,1.549,500.274,1652.4,12.06426632
"545","SVN",2017,115.4,3192,97.5,51.2,101.3,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.4,NA,NA,NA,NA,NA,NA,18.395,1.506,521.069,1621.5,NA
"546","SVN",2018,114.9,3191,96.4,45,128.5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3,NA,NA,NA,NA,NA,NA,17.958,1.487,549.661,1598.7,NA
"547","ZAF",2005,80.3,2952,78.9,30.7,36.5,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.88740722
"548","ZAF",2006,80.4,2927,79.7,31.3,37.6,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.83285026
"549","ZAF",2007,79.4,2920,81,30.7,34,NA,NA,NA,NA,NA,NA,7.5,NA,NA,7.9,29.9,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.77449278
"550","ZAF",2008,83.3,2924,81.2,30,36.2,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,23.2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.72177185
"551","ZAF",2009,87,2936,80.4,30.4,32.9,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.66611244
"552","ZAF",2010,86,2992,82.3,35.2,33.6,NA,NA,NA,NA,NA,NA,7.1,NA,NA,7.3,29.5,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,10.9,23.3,NA,NA,NA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.61304037
"553","ZAF",2011,83.9,3002,83.5,35,38.6,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2,11.5,23.9,NA,NA,NA,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.60763887
"554","ZAF",2012,84.7,3014,84.5,36,32.7,NA,NA,NA,NA,NA,NA,7.2,NA,NA,6.9,29.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9,12,24.5,NA,NA,NA,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.60898594
"555","ZAF",2013,83.6,3022,85.3,36.9,38,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6,12.6,25.1,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.60827854
"556","ZAF",2014,81,2976,85.5,44.6,31.2,NA,NA,NA,NA,NA,NA,7.2,NA,NA,6.5,29.2,17.8,NA,NA,NA,NA,NA,NA,37.3,15.7,26.5,NA,NA,NA,NA,NA,NA,37.2,13.2,25.8,NA,NA,NA,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.61186813
"557","ZAF",2015,83,2942,86.5,45.6,29.4,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,13.8,26.4,NA,NA,NA,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.60898132
"558","ZAF",2016,81.4,2921,84.6,43.3,21.2,NA,NA,NA,NA,NA,NA,7.3,NA,NA,6.1,29,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5,14.5,27,NA,NA,NA,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.61245187
"559","ZAF",2017,82.5,2936,83.6,41.7,19.9,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","ZAF",2018,82.9,2899,84.4,41.3,22.7,NA,NA,NA,NA,NA,NA,7.2,NA,NA,5.8,28.8,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","AUT",2019,NA,NA,NA,NA,NA,55.4,38.9,47.3,58.7,40.7,49.9,12.2,NA,15.4,17.8,23.5,20.6,19.3,23.8,14.4,27.9,41.4,34.5,15.2,18.1,16.6,43.1,59.5,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.5,0.6,0.4,0.7,1,11.852,1.237,676.16,1509,NA
"562","CZE",2019,NA,NA,NA,NA,NA,49.1,34.8,42.1,54.1,36.4,45.4,11.9,2329,11.2,15.2,21.1,18.1,14.8,19,10.4,31.8,46.8,39.1,17.5,21.2,19.3,49.3,68.1,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,10.7,14,3.6,4.9,6.2,15.206,1.191,519.657,1784,NA
"563","DNK",2019,NA,NA,NA,NA,NA,54.2,37.4,46,53.4,38.7,46.2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.812,0.678,373.134,1381,NA
"564","FIN",2019,NA,NA,NA,NA,NA,63,41,52,52,32,42,8.2,575,NA,10,16,13,7,5,9,31,42,36,21,20,21,52,62,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,4.6,7.2,1,2.2,3.4,12.365,1.132,563.659,1539,NA
"565","FIN",2020,NA,NA,NA,NA,NA,57,39,48,51,30,41,NA,NA,NA,11,14,12,NA,NA,NA,30,43,37,23,23,23,53,67,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.7,2.2,12.417,1.186,578.901,1531,NA
"566","FRA",2019,NA,NA,NA,NA,NA,69,55.6,62.6,65,52.3,58.9,11.4,841,12.5,20.7,27.5,24,31.8,36.5,27,25.5,36.8,30.9,15.2,13.5,14.4,40.7,50.3,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4.4,5.2,11.889,1.321,627.06,1511,NA
"567","GRC",2019,NA,NA,NA,NA,NA,56.3,46.3,53.4,51.2,45.6,49.2,6.3,957.8,17,19,31.3,24.9,14.4,21.8,9.2,33.2,49.2,40.8,16.2,16.6,16.4,49.4,65.8,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,26.157,2.05,606.579,1920,NA
"568","HUN",2019,NA,NA,NA,NA,NA,49.1,40.4,45,60.8,49.3,55.4,NA,NA,12.2,22.3,27.7,24.9,26.3,28.3,24.2,29.2,40.1,34.3,22.7,25.1,23.9,51.9,65.2,58.2,29.2,40.1,34.4,30.8,35.8,33.2,60,76,67.6,NA,4.7,5.4,6.1,1.4,2,2.7,27.194,1.727,590.04,1722.2,NA
"569","ISL",2019,NA,NA,NA,NA,NA,66.6,53.6,60.1,55.4,42.6,49,NA,NA,NA,8.4,8.1,8.2,3.2,4,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,8.6,8.2,4.2,4.3,4.4,11.022,0.944,500.494,1480,NA
"570","ISL",2020,NA,NA,NA,NA,NA,64.4,51.9,58.1,51.3,38.2,44.7,NA,NA,NA,7.9,6.7,7.3,2.4,2.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,8.5,7.6,4.1,4,3.9,11.095,1.089,558.528,1435,NA
"571","ITA",2019,NA,NA,NA,NA,NA,63.3,53.3,58.5,77.6,71.6,74.7,7.7,NA,11.1,14.9,22.7,18.6,17,20.4,13.3,28.1,43.3,35.4,10.3,11.7,11,38.4,55,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.4,4.4,1.9,2.6,3.4,18.036,1.563,658.911,1714.7,NA
"572","KOR",2019,NA,NA,NA,NA,NA,99.2,98.9,99,69.2,57.9,63.6,8.3,1576,12.6,4.4,28.5,16.4,13.1,20.4,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,34.3,27.9,5.5,6.2,5.9,26.8,40.6,33.7,NA,NA,NA,NA,NA,NA,NA,19.398,1.584,660.751,1967,NA
"573","LUX",2019,NA,NA,NA,NA,NA,46.9,28.3,37.6,46.7,33.6,40.1,11,NA,13.4,16,17.6,16.8,15.1,13.6,16.6,23.8,40.1,31.9,14.6,18.4,16.5,38.4,58.5,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.9,3.6,1.2,1.8,2.3,10.603,0.569,574.109,1506,NA
"574","NLD",2019,NA,NA,NA,NA,NA,36,30.4,33.2,49.5,37.8,43.7,8.2,NA,9.9,13.1,17.7,15.4,11.1,13.8,8.2,28.3,40.3,34.3,15.6,12.6,14.1,43.9,52.9,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.1,1.4,1.5,1.6,1.7,7.3,0.742,418.986,1440,NA
"575","NZL",2019,NA,NA,NA,NA,NA,95.9,94,95,82.7,75.4,79.2,8.8,NA,10,11.1,13.9,12.5,11.2,12.4,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,39.2,34.3,31.9,29.8,30.9,61.5,69,65.1,NA,5.5,7.1,8.5,3.4,4.7,6,NA,NA,NA,1783,NA
"576","NZL",2020,NA,NA,NA,NA,NA,96.5,94,95.3,82.4,76.7,79.6,8.7,NA,9.4,11,12.2,11.6,10.1,12.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,40,35.3,31.7,30.1,30.9,62.4,70.1,66.2,NA,9.2,9.2,9.2,4.3,5.2,6.2,NA,NA,NA,1739,NA
"577","NOR",2019,NA,NA,NA,NA,NA,66,49,58,59,44,51,6.1,776,11.9,9,9,9,2,2,1,29,41,35,12,15,13,41,56,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3.8,4.6,2.9,3.1,3.3,6.986,0.735,471.195,1381.4,NA
"578","POL",2019,NA,NA,NA,NA,NA,55.4,47.5,51.1,61.9,50.2,54.4,11,NA,15.2,14.1,20.8,17.1,11.3,13,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.699,1.273,450.98,1781,NA
"579","PRT",2019,NA,NA,NA,NA,NA,46.5,36.2,41.7,69.9,62.3,66.4,10.4,NA,NA,9,20.2,14.2,12.4,17.2,9.6,31.8,42.2,36.6,17.4,16.4,16.9,49.2,58.6,53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,14.778,1.409,494.667,1745,NA
"580","SVK",2019,NA,NA,NA,NA,NA,51.6,42.8,47.3,60,45.2,52.9,10.3,NA,13,15.4,26.9,21,16.2,19,13.3,31,46.2,38.3,18.3,20.6,19.4,49.3,66.8,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.1,0.8,1,1.2,1.3,24.439,1.701,534.983,1692,NA
"581","ESP",2020,NA,NA,NA,NA,NA,52,41,46.6,71.2,63.9,67.7,NA,1486.5,12,16.5,23.3,19.8,15.2,18.3,12,28.4,42.7,35.3,14.3,15.5,14.9,42.7,58.1,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.1,3.9,1.2,1.8,2.4,NA,NA,NA,1577.2,NA
"582","SWE",2020,NA,NA,NA,NA,NA,74.1,59.5,66.7,66.7,47.8,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3,1.5,0.8,1,1.2,NA,NA,NA,1424,NA
"583","TUR",2019,NA,NA,NA,NA,NA,58.5,52,55.3,47.9,43.4,45.7,1.3,1179.5,17.1,14.9,41.3,28,19.6,31,7.9,30.4,39.7,35,24.8,17.3,21.1,55.2,57,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1732,NA
"584","EST",2019,NA,NA,NA,NA,NA,52,40.9,46.9,56.1,40.9,49.1,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.605,1.118,416.303,1711,NA
"585","ISR",2019,NA,NA,NA,NA,NA,86.5,81.8,84.2,76.5,66.3,71.6,3.1,NA,15.7,11.4,21.7,16.4,NA,NA,NA,33.7,43,38.3,16.6,18.9,17.7,50.2,61.9,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.5,2.8,NA,NA,NA,1898.1,NA
"586","SVN",2019,NA,NA,NA,NA,NA,63.3,50.1,56.7,63.6,46,54.8,11.1,NA,11.9,15.6,19.3,17.4,14,15.7,12.2,30.5,43.7,37.1,18,20.7,19.4,48.5,64.4,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.5,3.8,1.6,2,2.4,17.364,1.48,573.623,1601.4,NA
"587","BEL",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.144,1.188,608.276,1576,NA
"588","CAN",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,14.5,8.7,12,10.3,4.3,4.9,3.6,28.6,40.3,34.4,20.2,21.7,21,48.8,62,55.4,31.4,39.6,35.5,22,26.7,24.3,53.4,66.3,59.8,NA,NA,NA,NA,3.6,4.7,5.8,16.085,1.744,863.851,1690,NA
"589","CAN",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1644,NA
"590","DEU",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,1503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.346,1.678,935.088,1382.8,NA
"591","IRL",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,804.4,13,12,16,14,11,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,42,37,23,24,23,55,66,61,NA,NA,NA,NA,5,5,6,11.897,0.795,604.746,1771,NA
"592","IRL",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,741.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1746,NA
"593","JPN",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1065,15.5,7.6,27.1,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,27.5,22.6,3.8,5.5,4.6,22.3,33,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1644,NA
"594","NOR",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,893,12.5,9,9,9,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.5,4.7,2.6,2.9,3.2,7.194,0.816,485.509,1368.7,NA
"595","SVK",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1572,NA
"596","ESP",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,1472.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.779,1.35,532.088,1687.7,NA
